NEST A1,NEST A3,NEST A5,NEST A7,NEST A9,NEST B2,NEST B4,NEST B6,NEST B8,NEST B10,NEST C1,NEST C3,NEST C5,NEST C7,NEST C9,NEST D2,NEST D4,NEST D6,NEST D8,NEST D10,NEST E1,NEST E3,NEST E5,NEST E7,NEST E9
33.326,33.118,32.911,33.222,33.222,31.37,30.963,31.268,31.472,31.574,31.983,31.064,31.166,31.37,31.472,31.676,31.472,31.37,31.268,31.268,32.394,31.983,31.676,31.676,31.472
33.326,33.118,32.911,33.222,33.222,31.37,30.963,31.268,31.472,31.574,32.086,31.064,31.166,31.37,31.472,31.676,31.472,31.37,31.37,31.268,32.394,31.983,31.676,31.676,31.472
33.326,33.118,32.911,33.222,33.326,31.37,30.963,31.268,31.472,31.574,32.086,31.064,31.166,31.37,31.472,31.778,31.472,31.37,31.37,31.268,32.394,31.983,31.676,31.676,31.472
33.326,33.118,32.911,33.222,33.326,31.37,30.963,31.268,31.472,31.676,32.086,31.064,31.166,31.37,31.472,31.778,31.472,31.37,31.37,31.268,32.394,31.983,31.676,31.676,31.472
33.326,33.118,33.014,33.222,33.326,31.37,30.963,31.268,31.472,31.676,32.086,31.064,31.166,31.37,31.472,31.778,31.472,31.37,31.37,31.37,32.394,31.983,31.676,31.676,31.472
33.326,33.118,33.014,33.222,33.326,31.37,30.963,31.268,31.472,31.676,32.086,31.064,31.166,31.37,31.472,31.778,31.472,31.472,31.37,31.37,32.394,31.983,31.676,31.676,31.472
33.43,33.222,33.014,33.222,33.326,31.472,30.963,31.268,31.472,31.676,32.188,31.064,31.166,31.37,31.472,31.778,31.472,31.472,31.37,31.37,32.394,31.983,31.676,31.676,31.472
33.43,33.222,33.014,33.326,33.326,31.472,30.963,31.268,31.472,31.676,32.188,31.064,31.166,31.37,31.472,31.778,31.472,31.472,31.37,31.37,32.497,31.983,31.676,31.676,31.472
33.43,33.222,33.014,33.326,33.326,31.472,30.963,31.268,31.472,31.676,32.188,31.064,31.268,31.37,31.472,31.778,31.472,31.472,31.37,31.37,32.497,31.983,31.676,31.676,31.574
33.43,33.222,33.014,33.326,33.326,31.472,30.963,31.37,31.472,31.676,32.188,31.064,31.268,31.37,31.472,31.778,31.472,31.472,31.37,31.37,32.497,31.983,31.778,31.676,31.574
33.43,33.222,33.014,33.326,33.326,31.472,30.963,31.37,31.472,31.676,32.188,31.064,31.268,31.37,31.472,31.778,31.574,31.472,31.37,31.37,32.497,31.983,31.778,31.676,31.574
